p,-6,-6
p,650,-6
p,650,48
p,48,650

#U
h,0,0,0
h,0,10,0
h,0,10,20
h,0,20,20
h,0,20,0
h,0,30,0
h,0,30,30
h,0,0,30

#N
h,1,32,0
h,1,44,0
h,1,52,17
h,1,52,0
h,1,62,0
h,1,62,30
h,1,52,30
h,1,42,10
h,1,42,30
h,1,32,30

#I
h,2,74,0
h,2,84,0
h,2,84,30
h,2,74,30

#V
h,3,96,0
h,3,106,0
h,3,111,15
h,3,116,0
h,3,126,0
h,3,116,30
h,3,106,30

#E
h,4,128,0
h,4,158,0
h,4,158,9
h,4,138,9
h,4,138,12
h,4,148,12
h,4,148,18
h,4,138,18
h,4,138,21
h,4,158,21
h,4,158,30
h,4,128,30

#R
h,5,160,0
h,5,180,0
h,5,190,7
h,5,190,15
h,5,180,20
h,5,190,30
h,5,180,30
h,5,172,20
h,5,172,17
h,5,178,17
h,5,182,15
h,5,182,7
h,5,178,5
h,5,170,5
h,5,170,30
h,5,160,30

#S
h,6,192,0
h,6,222,0
h,6,222,8
h,6,202,8
h,6,202,12
h,6,222,12
h,6,222,30
h,6,192,30
h,6,192,22
h,6,212,22
h,6,212,18
h,6,192,18

#I
h,7,234,0
h,7,244,0
h,7,244,30
h,7,234,30

#T
h,8,256,0
h,8,286,0
h,8,286,10
h,8,276,10
h,8,276,30
h,8,266,30
h,8,266,10
h,8,256,10

#Ä
h,9,288,0
h,9,296,0
h,9,296,8
h,9,288,8

h,10,310,0
h,10,318,0
h,10,318,8
h,10,310,8

h,11,298,8
h,11,308,8
h,11,318,30
h,11,308,30
h,11,306,25
h,11,300,25
h,11,300,21
h,11,306,21
h,11,303,15
h,11,298,30
h,11,288,30

#T
h,12,320,0
h,12,350,0
h,12,350,10
h,12,340,10
h,12,340,30
h,12,330,30
h,12,330,10
h,12,320,10

#M
h,13,384,0
h,13,394,0
h,13,399,15
h,13,404,0
h,13,414,0
h,13,414,30
h,13,404,30
h,13,404,18
h,13,399,22
h,13,394,18
h,13,394,30
h,13,384,30

#A
h,14,426,0
h,14,436,0
h,14,446,30
h,14,436,30
h,14,434,20
h,14,429,20
h,14,430,16
h,14,433,16
h,14,431,10
h,14,426,30
h,14,416,30

#N
h,15,448,0
h,15,460,0
h,15,468,17
h,15,468,0
h,15,478,0
h,15,478,30
h,15,468,30
h,15,458,10
h,15,458,30
h,15,448,30

#N
h,16,480,0
h,16,492,0
h,16,500,17
h,16,500,0
h,16,510,0
h,16,510,30
h,16,500,30
h,16,490,10
h,16,490,30
h,16,480,30

#H
h,17,512,0
h,17,522,0
h,17,522,10
h,17,532,10
h,17,532,0
h,17,542,0
h,17,542,30
h,17,532,30
h,17,532,20
h,17,522,20
h,17,522,30
h,17,512,30

#E
h,18,544,0
h,18,574,0
h,18,574,9
h,18,554,9
h,18,554,12
h,18,564,12
h,18,564,18
h,18,554,18
h,18,554,21
h,18,574,21
h,18,574,30
h,18,544,30

#I
h,19,586,0
h,19,596,0
h,19,596,30
h,19,586,30

#M
h,20,608,0
h,20,618,0
h,20,623,15
h,20,628,0
h,20,638,0
h,20,638,30
h,20,628,30
h,20,628,18
h,20,623,22
h,20,618,18
h,20,618,30
h,20,608,30
